Code,Label
afr,Afrikaans
sqi,Albanian
ara,Arabic
hye,Armenian
axe,Azerbaijani
ben,Bengali
bos,Bosnian
bul,Bulgarian
cat,Catalan
zho,Chinese
hrv,Croatian
ces,Czech
dan,Danish
nld,Dutch
est,Estonian
fin,Finnish
fra,French
glg,Galician
kat,Georgian
deu,German
ell,Greek
guj,Gujarati
heb,Hebrew
hin,Hindi
hun,Hungarian
isl,Icelandic
ind,Indonesian
ita,Italian
jpn,Japanese
kan,Kannada
kaz,Kazakh
kor,Korean
lav,Latvian
lit,Lithuanian
mkd,Macedonian
msa,Malay
mal,Malayalam
mar,Marathi
mon,Mongolian
nep,Nepali
nor,Norwegian
nno,Norwegian Nynorsk
fas,Persian
pol,Polish
por,Portuguese
pan,Punjabi
ron,Romanian
rus,Russian
srp,Serbian
sin,Sinhalese
slk,Slovak
slv,Slovenian
som,Somali
spa,Spanish
swa,Swahili
swe,Swedish
tam,Tamil
tel,Telugu
tha,Thai
bod,Tibetan
tur,Turkish
ukr,Ukrainian
urd,Urdu
vie,Vietnamese
